eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar_2,group
250B,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.470117935,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,0.000129766,250bar
250C,CL 67:1_29.46 | 16:0_16:0_16:0_19:1,0.132810381,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_19:1,3.66594E-05,250bar
1A,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.098303573,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,2.71345E-05,1bar
1B,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.123589629,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,3.41142E-05,1bar
1C,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.123647517,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,3.41302E-05,1bar
250B,CL 67:1_29.46 | 16:0_16:0_17:1_18:0,0.089934843,CL,1,NA,67,1,29.46,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:0,2.48245E-05,250bar
1A,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.015895931,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,4.38772E-06,1bar
1B,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.016110651,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,4.44699E-06,1bar
1C,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.041563963,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,1.14728E-05,1bar
250A,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.037589287,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,1.03757E-05,250bar
250C,CL 67:2_29.21 | 15:0_16:0_17:1_19:1,0.015028909,CL,1,NA,67,2,29.21,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_19:1,4.1484E-06,250bar
1A,CL 67:2_29.21 | 16:0_16:0_16:1_19:1,0.034352583,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_19:1,9.48227E-06,1bar
1B,CL 67:2_29.21 | 16:0_16:0_16:1_19:1,0.03505662,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_19:1,9.6766E-06,1bar
250A,CL 67:2_29.21 | 16:0_16:0_16:1_19:1,0.075165397,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_19:1,2.07477E-05,250bar
1A,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.048024515,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,1.32561E-05,1bar
1B,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.048779726,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,1.34646E-05,1bar
1C,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.080501705,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,2.22207E-05,1bar
250A,CL 67:2_29.21 | 16:0_16:0_17:1_18:1,0.084966832,CL,1,NA,67,2,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_17:1_18:1,2.34532E-05,250bar
1A,CL 67:2_29.21 | 16:0_17:0_17:1_17:1,0.018484673,CL,1,NA,67,2,29.21,NA,16,0,NA,17,0,NA,NA,NA,FALSE,16:0_17:0_17:1_17:1,5.10228E-06,1bar
